sentence,target word,gold substitutes
The scientist decided to examine the unusual rock formation near the riverbank.,examine,inspect|analyze|probe
She managed to acquire a rare collection of stamps from an old antique dealer.,acquire,obtain|gain|get
The teacher asked the students to commence writing their answers immediately.,commence,begin|start|initiate
The physician carefully reviewed the patient's history before making a diagnosis.,history,story|chronicle|account
The students gathered in the corridor to discuss the results of their examination.,gathered,assembled|met|accumulated
The traveler carried a small fortune in his leather satchel across the border.,fortune,luck|destiny|fate
She answered the interviewer's questions remarkably well despite her nervousness.,remarkably,outstandingly|strikingly|unusually
He completed all the assigned tasks swiftly and submitted the report before noon.,swiftly,fleetly|rapidly|speedily
The detective listened attentively as the witness described the sequence of events.,listened,heard|heeded|attended
The committee agreed to modify the original proposal before presenting it to the board.,modify,alter|change|adjust
The manager had to postpone the meeting because two key members were traveling abroad.,postpone,defer|shelve|remit
The firefighters worked tirelessly to extinguish the blaze before it spread to nearby homes.,extinguish,quench|eliminate|eradicate
The journalist tried to conceal her identity while investigating the corruption scandal.,conceal,hide|cover|veil
The new regulations will compel all companies to disclose their financial records annually.,compel,oblige|force|obligate
The entire neighbourhood gathered at the plaza to celebrate the annual harvest festival.,neighbourhood,vicinity|locality|region
The professor delivered an inspiring lecture on the boundaries of human perception.,lecture,talk|address|discourse
She glanced at him briefly before turning away and continuing her conversation with the guests,glanced,peeked|glinted|looked
The surgeon calmly explained the risks of the procedure to the anxious family members.,anxious,nervous|queasy|uneasy
He persistently knocked on the door until someone finally came downstairs to answer it.,knocked,tapped|rapped|pinged
The children eagerly rushed to the window to observe the first snowfall of the season,observe,watch|notice|view
The company decided to expand its operations into three new international markets next year,expand,extend|enlarge|broaden
The experienced chef prepared an elaborate three-course meal for the visiting foreign dignitaries.,prepared,set|made|arranged
The worried mother stayed awake all night to monitor her son's rising fever closely.,monitor,watch|track|supervise
The old bridge connecting the two villages finally collapsed after decades of neglect and disrepair.,collapsed,fell|crumbled|failed
The young novelist struggled to find the right words to describe the grief of her protagonist.,struggled,labored|fought|scrambled
The detective examined the crime scene thoroughly before drawing any conclusions about the incident.,thoroughly,carefully|exhaustively|completely
The board members voted unanimously to reject the proposed merger with the rival corporation.,reject,refuse|decline|eliminate
The mountaineer carried only the bare essentials in her backpack to reduce the burden on the trail.,burden,load|weight|strain
The journalist published a detailed report exposing widespread fraud within the government department.,exposing,revealing|uncovering|disclosing
She runs a successful business.,runs,manages|operates|leads
He hit the ball hard.,hit,struck|smacked|shot
She left the room early.,left,departed|exited|went
The light is too bright.,light,illumination|brightness|glow
He made a quick decision.,decision,conclusion|determination|choice
The task was difficult to complete.,difficult,hard|challenging|unmanageable
She read a fascinating book.,book,ledger|volume|script
He gave a strong argument.,strong,substantial|solid|firm
This is an important issue.,important,significant|crucial|vital
He showed great courage.,courage,bravery|braveness|boldness
The student carefully revised her thesis multiple times before submitting it to the academic committee.,revised,edited|retooled|reworked
